$ICAO,$Registration,$Operator,$Type,$ICAO Type,#CMPG,$Tag 1,$#Tag 2,$#Tag 3,Category,$#Link
502C5C,YL-KSH,Baltic Bees display team,Aero L-39 C,L39,Civ,Do A Barrel Roll,Display Team,,Aerobatic Teams,https://en.wikipedia.org/wiki/Baltic_Bees_Jet_Team
511047,ES-YLF,Breitling Team,Aero L-39 C,L39,Civ,Do A Barrel Roll,Display Team,,Aerobatic Teams,https://www.breitling.com/gb-en/partnerships/breitling-jet-team
511049,ES-YLR,Breitling Team,Aero L-39 C,L39,Civ,Do A Barrel Roll,Display Team,,Aerobatic Teams,https://www.breitling.com/gb-en/partnerships/breitling-jet-team
406481,G-PMIZ,Private,Pitts Special P-12,PTMS,Civ,Biplane,Display Team,,Aerobatic Teams,https://en.wikipedia.org/wiki/Pitts_Special
402FF8,G-BRRP,Private,Pitts Special S-1S,PTS1,Civ,Biplane,Display Team,,Aerobatic Teams,https://en.wikipedia.org/wiki/Pitts_Special
405ED2,G-BOXH,Private,Pitts Special S-1S,PTS1,Civ,Biplane,Display Team,,Aerobatic Teams,https://en.wikipedia.org/wiki/Pitts_Special
404516,G-IBII,Private,Pitts Special S-2A,PTS2,Civ,Biplane,Display Team,,Aerobatic Teams,https://en.wikipedia.org/wiki/Pitts_Special
407316,G-IIFI,Red Bull Matadors,Xtremeair Sbach XA-41,XA41,Civ,Do A Barrel Roll,Display Team,,Aerobatic Teams,http://www.matadorsaerobaticteam.com
407315,G-IIIF,Red Bull Matadors,Xtremeair Sbach XA-41,XA41,Civ,Do A Barrel Roll,Display Team,,Aerobatic Teams,http://www.matadorsaerobaticteam.com
40749C,G-JPIT,Rich Goodwin,Pitts Special S-2S Modified,PTS2,Civ,Jet Engine,Display Team,,Aerobatic Teams,https://www.richgoodwinairshows.com/jet-pitts
4021BB,G-EWIZ,Rich Goodwin,Pitts Special S-2SE,PTS2,Civ,Biplane,Display Team,,Aerobatic Teams,https://en.wikipedia.org/wiki/Pitts_Special
400E1F,G-OFFO,The Blades,Extra EA-300,E300,Civ,Do A Barrel Roll,Display Team,,Aerobatic Teams,https://theblades.com
400E20,G-ZXCL,The Blades,Extra EA-300,E300,Civ,Do A Barrel Roll,Display Team,,Aerobatic Teams,https://theblades.com
400E21,G-ZXEL,The Blades,Extra EA-300,E300,Civ,Do A Barrel Roll,Display Team,,Aerobatic Teams,https://theblades.com
400E22,G-ZEXL,The Blades,Extra EA-300,E300,Civ,Do A Barrel Roll,Display Team,,Aerobatic Teams,https://theblades.com
40655A,G-ZXLL,The Blades,Extra EA-300,E300,Civ,Do A Barrel Roll,Display Team,,Aerobatic Teams,https://theblades.com
3E1CEA,D-ICDM,The Flying Bulls,Alpha Jet,AJET,Civ,Already Has Wings,Display Team,,Aerobatic Teams,https://www.flyingbulls.at/en
4407F4,OE-FRB,The Flying Bulls,Alpha Jet,AJET,Civ,Already Has Wings,Display Team,,Aerobatic Teams,https://www.flyingbulls.at/en
4407F5,OE-FAS,The Flying Bulls,Alpha Jet,AJET,Civ,Already Has Wings,Display Team,,Aerobatic Teams,https://www.flyingbulls.at/en
440836,OE-FDM,The Flying Bulls,Alpha Jet,AJET,Civ,Already Has Wings,Display Team,,Aerobatic Teams,https://www.flyingbulls.at/en
440886,OE-ETV,The Flying Bulls,AS.350 Squirrel,AS50,Civ,Chopper,Display Team,,Aerobatic Teams,https://www.flyingbulls.at/en
4405CD,OE-CKW,The Flying Bulls,Aviat Husky,HUSK,Civ,Already Has Wings,Display Team,,Aerobatic Teams,https://www.flyingbulls.at/en
4408E8,OE-ADM,The Flying Bulls,Beech T-34 Mentor,T34P,Civ,Already Has Wings,Display Team,,Aerobatic Teams,https://www.flyingbulls.at/en
4405EB,OE-XDM,The Flying Bulls,Bell 47 G-3B-1,B47G,Civ,Chopper,Display Team,,Aerobatic Teams,https://www.flyingbulls.at/en
A02A6D,N11FX,The Flying Bulls,Bell Cobra TAH-1F,HUCO,Civ,Chopper,Display Team,,Aerobatic Teams,https://www.flyingbulls.at/en
