#ICAO,Reg,Owner,Type
406F50,GZ-100,32 (The Royal) Squadron RAF,Agusta Westland AW109SP
43C146,ZE700,32 (The Royal) Squadron RAF,BAe 146-100 CC.2 (VIP)
43C147,ZE701,32 (The Royal) Squadron RAF,BAe 146-100 CC.2 (VIP)
43C704,ZE707,32 (The Royal) Squadron RAF,BAe 146-200 C3
43C705,ZE708,32 (The Royal) Squadron RAF,BAe 146-200 C3
406BC6,G-XXEC,The Queen’s Helicopter flight,Agusta Westland AW109S
406004,G-XXED,The Queen’s Helicopter flight,Sikorsky S76C++
405FE9,G-XXEB,The Queen’s Helicopter flight,Sikorsky S76C++
