ICAO,Ident,Operator,Type,CMPG,#$Tag 1,#$Tag 2,Category
710321,HZ-HM1A,Government of Saudi Arabia,Boeing 747-3G1,Gov,Dictator Alert,Mohammed bin Salman,Dictator Alert
710333,HZ-HM1,Government of Saudi Arabia,Boeing 747-468,Gov,Dictator Alert,Mohammed bin Salman,Dictator Alert
710322,HZ-HM1B,Government of Saudi Arabia,Boeing 747SP-68,Gov,Dictator Alert,Mohammed bin Salman,Dictator Alert
710336,HZ-HM1C,Government of Saudi Arabia,Boeing 747SP-68,Gov,Dictator Alert,Mohammed bin Salman,Dictator Alert
71032C,HZ-HMED,Government of Saudi Arabia,Boeing 757-23A,Gov,M*A*S*H,Mohammed bin Salman,Dictator Alert
39AE68,FHLTI,Government of Togo,Dassault Falcon 7X,Gov,Dictator Alert,,Dictator Alert
088005,5VTAI,Government of Togo,Fokker F28 1000,Gov,Dictator Alert,,Dictator Alert
60185A,EZA007,Government of Turkmenistan,Boeing 737NG7GLW,Gov,Dictator Alert,,Dictator Alert
601861,EZA777,Government of Turkmenistan,Boeing 77722KLR,Gov,Dictator Alert,,Dictator Alert
60183E,EZB024,Government of Turkmenistan,Bombardier Challenger870,Gov,Dictator Alert,,Dictator Alert
042003,3C-LGE,Guinea Ecuatorial Aire Lines SA,Dassault Falcon 50,Gov,Dictator Alert,,Dictator Alert
042819,3C-LLU,Guinea Ecuatorial Airlines,Boeing 767-306(ER),Gov,Dictator Alert,,Dictator Alert
7101E4,HZ-WBT5,HRH Prince Awaleed Bin Talal,British Aerospace BAe 125-800A,Gov,Dictator Alert,Mohammed bin Salman,Dictator Alert
6831ED,74008,Kazakhstan Border Guards,Antonov An-74TK-200,Gov,Dictator Alert,,Dictator Alert
7101F1,HZ-WBT7,Kingdom Holding( King Abdullah),Boeing 747-4J6,Gov,Dictator Alert,Mohammed bin Salman,Dictator Alert
01801C,5A-CAA,Libyan Air Force,Antonov An-74TK-300,Gov,Dictator Alert,,Dictator Alert
155BEA,RA-89066,MChS Rossii,Sukhoi Superjet 100-95B,Gov,Dictator Alert,Vladimir Putin,Dictator Alert
155BEB,RA-89067,MChS Rossii,Sukhoi Superjet 100-95LR,Gov,Dictator Alert,Vladimir Putin,Dictator Alert
730543,EP-AJC,Meraj Airlines,Airbus A320-232,Gov,Dictator Alert,Ali Khamenei,Dictator Alert
730400,EP-AGB,Meraj Airlines,Airbus A321-231,Gov,Dictator Alert,Ali Khamenei,Dictator Alert
730541,EP-AJA,Meraj Airlines,Airbus A340-313,Gov,Dictator Alert,Ali Khamenei,Dictator Alert
484362,P4KAZ,Mint Juleps Investments,Boeing 737NG7EJWBBJ,Gov,Dictator Alert,,Dictator Alert
70C057,A4OAA,Oman Royal Flight,Airbus A320232,Gov,Dictator Alert,Haitham bin Tarik,Dictator Alert
