$ICAO,$Registration,$Operator,$Type,$ICAO Type,#CMPG,$Tag 1,$#Tag 2,$#Tag 3,Category,$#Link,#ImageLink,#ImageLink2,#ImageLink3,#ImageLink4
A64304,N502SX,Falcon Landing LLC,Gulfstream G550,GLF5,Civ,Elon Musk,SpaceX,Toys4Billionaires,Don't you know who I am?,https://youtu.be/bvim4rsNHkQ,https://cdn.jetphotos.com/full/6/20562_1658841946.jpg,https://cdn.jetphotos.com/full/5/57558_1668541139.jpg,,
A647DF,N5033J,Sol Aerial Surveys,Cessna 310R,C310,Civ,Aerial Survey,Measuring Stick,Trundle Wheel,Ptolemy would be proud,https://solaerialsurveys.com,,,,
A6488E,N5038J,Keystone Aerial Surveys,Cessna T310R,C310,Civ,Aerial Survey,Measuring Stick,Trundle Wheel,Ptolemy would be proud,https://www.kasurveys.com/,https://cdn.jetphotos.com/full/6/529768_1726344283.jpg,https://cdn.jetphotos.com/full/6/84855_1597836226.jpg,,
A648CF,N504AC,Apache Corporation,Gulfstream G550,GLF5,Civ,Oil Spill,Man Made Climate Change,Climate Crisis,Climate Crisis,https://xkcd.com/1732/,https://cdn.jetphotos.com/full/6/40094_1636903049.jpg,https://cdn.jetphotos.com/full/6/19686_1526225155.jpg,https://cdn.jetphotos.com/full/6/42666_1429487476.jpg,
A64B8C,N50429,The Flying Bulls,Fairchild PT-19,FA62,Civ,Already Has Wings,Display Team,Aerobatics,Aerobatic Teams,https://www.flyingbulls.at/en,https://cdn.jetphotos.com/full/6/74540_1578504556.jpg,https://cdn.jetphotos.com/full/6/43416_1574472060.jpg,https://cdn.jetphotos.com/full/6/14387_1542235179.jpg,
A64CC3,N505CP,Civil Air Patrol,Textron Aviation 182T Skylane,C182,Civ,Air Force Auxiliary,Search and Rescue,Flying Vigilantes,CAP,https://w.wiki/8odd,https://cdn.jetphotos.com/full/6/96027_1663529905.jpg,https://photos.flightaware.com/photos/retriever/0997183817b7db7b193e14dc55153ff559c4440c,https://photos.flightaware.com/photos/retriever/564a7bf6f74ec0534426695c1fa3ba271aefbe9b,
A6503C,N506AB,Luke Bryan,Learjet 60,LJ60,Civ,Bizjet,Country Music,Never Heard Of Him,Don't you know who I am?,https://en.wikipedia.org/wiki/Luke_Bryan,https://cdn.jetphotos.com/full/6/17959_1669858409.jpg,https://cdn.jetphotos.com/full/6/81922_1620879683.jpg,https://cdn.jetphotos.com/full/5/67208_1480289133.jpg,
A65095,N506DR,Sol Aerial Surveys,Cessna 310R,C310,Civ,Aerial Survey,Measuring Stick,Trundle Wheel,Ptolemy would be proud,https://solaerialsurveys.com,https://live.staticflickr.com/65535/50785665463_cc414e5e34_b.jpg,,,
A65488,N507GA,Flagstaff Medical Center,Bell 407GX,B407,Civ,Air Ambo,Medical Evac,Saving Lives,Flying Doctors,https://en.wikipedia.org/wiki/Flagstaff_Medical_Center,https://cdn.jetphotos.com/full/6/52529_1593355752.jpg,,,
A65675,N5071J,Sol Aerial Surveys,Cessna 310R,C310,Civ,Aerial Survey,Measuring Stick,Trundle Wheel,Ptolemy would be proud,https://solaerialsurveys.com,https://cdn.jetphotos.com/full/5/16774_1593973537.jpg,,,
