ICAO,Ident,Operator,Type,#CMPG,$Tag,#$Tag 2,Category
4009D5,G-FRAU,Draken Europe,Dassault Falcon 20C,Civ,Specialist,Target Practice,Military Contractors
4009D6,G-FRAW,Draken Europe,Dassault Falcon 20ECM,Civ,Specialist,Target Practice,Military Contractors
407B49,G-FRSB,Draken Europe,Dassault Falcon 20F,Civ,Specialist,Target Practice,Military Contractors
400D24,G-BJEC,Gama Aviation (UK) Ltd,Britten-Norman BN-2T Islander CC2B,Civ,Covert,Eye In The Sky,Military Contractors
41CE02,G-BSAH,Gama Aviation (UK) Ltd,Britten-Norman Islander R.1,Civ,Covert,Eye In The Sky,Military Contractors
4073E1,G-DAYP,Gama Aviation (UK) Ltd,Beechcraft Corp King Air 350C,Civ,Eye In The Sky,,Military Contractors
406A2E,G-GMAD,Gama Aviation (UK) Ltd,Beechcraft Corp King Air 350C,Civ,Eye In The Sky,,Military Contractors
401116,G-BVJT,NOR Leasing (Police),Reims-Cessna F406 Caravan II,Civ,Eye In The Sky,,Military Contractors
405B28,G-TDSA,NOR Leasing (Police),Reims-Cessna F406 Caravan II,Civ,Eye In The Sky,,Military Contractors
4069D9,G-LBSB,Transferred to MOD,Beechcraft Corp King Air 350C,Civ,Eye In The Sky,,Military Contractors
43E9CE,M-USIK,Nassef Sawiris,Gulfstream G650,Civ,Bizjet,Vanity Plate,Must be nice
43E9CD,M-KSSN,Osni Sawiris,Gulfstream G650,Civ,Bizjet,Vanity Plate,Must be nice
A0441D,N116SR,US Department of Energy,Airbus Helicopters H145,Gov,Specialist,Covert,Nuclear
A047D4,N117SR,US Department of Energy,Airbus Helicopters H145,Gov,Specialist,Covert,Nuclear
A1AB42,N20646,US Department of Energy,Bell 206L-4 LongRanger,Gov,Specialist,,Nuclear
A4DBDE,N412DE,US Department of Energy,Bell 412HP,Gov,mmm Neutrons,,Nuclear
A8107D,N619DE,US Department of Energy,Bell 407,Gov,Specialist,,Nuclear
A87A4D,N6451D,US Department of Energy,Beech B200 Super King Air,Gov,Specialist,,Nuclear
A9B15F,N7232R,US Department of Energy,Beech B200 Super King Air,Gov,Specialist,,Nuclear
A20F61,N2316,US National Nuclear Security Administration,Beech 300 Super King Air 350,Gov,Specialist,,Nuclear
A20F84,N2317,US National Nuclear Security Administration,Beech 300 Super King Air 350,Gov,Specialist,,Nuclear
A20FCA,N2319,US National Nuclear Security Administration,Beech 300 Super King Air 350,Gov,Specialist,,Nuclear
ADACC6,N980ST,US National Nuclear Security Administration,Boeing 737-400C,Gov,Specialist,,Nuclear
ADD445,N990ST,US National Nuclear Security Administration,Boeing 737-4YO,Gov,Specialist,,Nuclear
44F42B,CH-11,Belgian Air Component,Lockheed C-130H Hercules,Mil,Waffles,Wrong Turn At Albuquerque,Other Air Forces
3B7725,103,French Air Force,Embraer 121 Xingu AA,Mil,Ou Sont Les Bagages,,Other Air Forces
3B7544,F-UJCS,French Air Force,Airbus A330 243,Gov,Government,Ou Sont Les Bagages,Other Air Forces
3E854F,10+03,German Air Force,Airbus A350 941,Mil,Shiny,,Other Air Forces
3F7B3C,14+04,German Air Force,Bombardier BD-700 Global Express,Mil,Bizjet,,Other Air Forces
4CA13F,253,Irish Air Corps,CASA CN-235 100MPA,Mil,Top..ish Gun,,Other Air Forces
4CA41D,282,Irish Air Corps,Pilatus PC-XII Spectre,Mil,Eye In The Sky,,Other Air Forces
A70773,N552GD,Israeli Air Force,Gulfstream Aerospace G550,Mil,Ooh Get You,Bizjet,Other Air Forces
706217,KAF342,Kuwait Air Force,Boeing C-17A Globemaster III,Mil,Wrong Turn at Albuquerque,Cargo,Other Air Forces
C2B373,144618,Royal Canadian Air Force,Bombardier CC-144C,Mil,Bizjet,,Other Air Forces
C2C1FB,144620,Royal Canadian Air Force,Bombardier CC-144D,Mil,Bizjet,,Other Air Forces
480C06,G-988,Royal Netherlands Air Force,Lockheed C-130H Hercules,Mil,Chonky Boy,Foutje Bedankt,Other Air Forces
3B9BAA,87,French Navy,Embraer 121 Xingu AN,Mil,Ou Sont Les Bagages,,Other Navies
3DA0DC,D-GHEA,Polizei Hessen,Partenavia P.68 Observer 2,Pol,Eye In The Sky,Police Squad,Police Forces
3DE585,D-HHEB,Polizei Hessen,Eurocopter EC145-C-2,Pol,Police Squad,Choppa,Police Forces
3E010A,D-HRPA,Polizei Rheinland-Pfalz,Eurocopter EC135-P2,Pol,Police Squad,Choppa,Police Forces
43C2B2,ZZ416,14 Squadron ISR (RAF),Shadow R1,Mil,Eye In The Sky,You Aint Seen Me Right,RAF
43C61D,ZZ504,14 Squadron ISR (RAF),Shadow R1,Mil,Eye In The Sky,You Aint Seen Me Right,RAF
43C908,ZZ507,14 Squadron ISR (RAF),Shadow R1,Mil,Eye In The Sky,You Aint Seen Me Right,RAF
43C384,ZG844,651 Squadron (Joint Special Forces Aviation Wing),BN2T Islander AL1,Mil,Eye In The Sky,You Aint Seen Me Right,RAF
43C388,ZG848,651 Squadron (Joint Special Forces Aviation Wing),Britten-Norman Islander R.1,Mil,Eye In The Sky,You Aint Seen Me Right,RAF
43C129,ZG997,651 Squadron (Joint Special Forces Aviation Wing),Britten-Norman Defender R.2,Mil,Eye In The Sky,You Aint Seen Me Right,RAF
43C125,ZG998,651 Squadron (Joint Special Forces Aviation Wing),Britten-Norman Defender R.2,Mil,Eye In The Sky,You Aint Seen Me Right,RAF
43C2B7,ZH001,651 Squadron (Joint Special Forces Aviation Wing),Britten-Norman Defender R.2,Mil,Eye In The Sky,You Aint Seen Me Right,RAF
43C2BA,ZH004,651 Squadron (Joint Special Forces Aviation Wing),Britten-Norman Defender T.3,Mil,Eye In The Sky,You Aint Seen Me Right,RAF
43C385,ZG845,652 Squadron (Joint Special Forces Aviation Wing),BN2T Islander AL1,Mil,Eye In The Sky,You Aint Seen Me Right,RAF
43C386,ZG846,653 Squadron (Joint Special Forces Aviation Wing),BN2T Islander AL1,Mil,Eye In The Sky,You Aint Seen Me Right,RAF
43C387,ZG847,654 Squadron (Joint Special Forces Aviation Wing),BN2T Islander AL1,Mil,Eye In The Sky,You Aint Seen Me Right,RAF
43C2B3,ZZ417,655 Squadron (Joint Special Forces Aviation Wing),B350C Shadow R1,Mil,Eye In The Sky,You Aint Seen Me Right,RAF
43C2B4,ZZ418,656 Squadron (Joint Special Forces Aviation Wing),B350C Shadow R1,Mil,Eye In The Sky,You Aint Seen Me Right,RAF
43C2B5,ZZ419,657 Squadron (Joint Special Forces Aviation Wing),B350C Shadow R1,Mil,Eye In The Sky,You Aint Seen Me Right,RAF
43C2B8,ZH002,659 Squadron (Joint Special Forces Aviation Wing),BN2T Defender AL2,Mil,Eye In The Sky,You Aint Seen Me Right,RAF
43C2B9,ZH003,660 Squadron (Joint Special Forces Aviation Wing),BN2T Defender AL2,Mil,Eye In The Sky,You Aint Seen Me Right,RAF
43C435,XX280,736 Naval Air Squadron,Hawk T1a,Mil,Top..ish Gun,,RAF
43C439,XX285,736 Naval Air Squadron,Hawk T1a,Mil,Top..ish Gun,,RAF
43C45C,XX329,736 Naval Air Squadron,Hawk T1a,Mil,Top..ish Gun,,RAF
43C463,XX339,736 Naval Air Squadron,Hawk T1a,Mil,Top..ish Gun,,RAF
43C383,ZH537,BN2T Islander CC2,BN2T Islander CC2,Mil,Eye In The Sky,You Aint Seen Me Right,RAF
43C4C3,ZA684,Royal Air Force,Boeing-Vertol Chinook HC.6A,Mil,Choppa,,RAF
43C4BE,ZA714,Royal Air Force,Boeing-Vertol Chinook HC.6A,Mil,Choppa,Loud,RAF
43C4BA,ZA718,Royal Air Force,Boeing-Vertol Chinook HC.4,Mil,Choppa,,RAF
43C4C7,ZD984,Royal Air Force,Boeing-Vertol Chinook HC.4,Mil,Choppa,,RAF
43C39F,ZH101,Royal Air Force,E3D Sentry AEW1,Mil,Eye In The Sky,You Aint Seen Me Right,RAF
43C3A1,ZH103,Royal Air Force,E3D Sentry AEW1,Mil,Eye In The Sky,You Aint Seen Me Right,RAF
43C3A2,ZH104,Royal Air Force,E3D Sentry AEW1,Mil,Eye In The Sky,You Aint Seen Me Right,RAF
43C3A4,ZH106,Royal Air Force,E3D Sentry AEW1,Mil,Eye In The Sky,You Aint Seen Me Right,RAF
43C5F8,ZH901,Royal Air Force,Boeing-Vertol Chinook HC.5,Mil,Choppa,,RAF
43C09C,ZJ691,Royal Air Force,Bombardier Sentinel R.1,Pol,Eye In The Sky,You Aint Seen Me Right,RAF
43C54F,ZK012,Royal Air Force,Hawk T2,Mil,Fighter,,RAF
43C561,ZK030,Royal Air Force,Hawk T2,Mil,Fighter,,RAF
43C565,ZK034,Royal Air Force,Hawk T2,Mil,Fighter,,RAF
43C7D7,ZK560,Royal Air Force,Boeing-Vertol Chinook HC.6,Mil,Choppa,,RAF
43C5E9,ZM415,Royal Air Force,Airbus Military A400M Atlas C.1,Mil,Cargo,,RAF
43C919,ZP802,Royal Air Force,Boeing P-8A Poseidon MRA Mk.1,Mil,Eye In The Sky,Specialist,RAF
43C91B,ZP804,Royal Air Force,Boeing P-8A Poseidon MRA Mk.1,Mil,Eye In The Sky,,RAF
43C1C6,ZZ176,Royal Air Force,Boeing C-17A Globemaster III,Mil,Absolute Unit,Cargo,RAF
43C6B8,ZZ177,Royal Air Force,Boeing C-17A Globemaster III,Mil,Absolute Unit,Cargo,RAF
43C6F6,ZZ333,Royal Air Force,Airbus KC2 Voyager,Mil,Refuel,,RAF
43C6F8,ZZ335,Royal Air Force,Airbus Voyager KC.3,Mil,Fill Her Up,,RAF
43C759,ZZ512,Royal Air Force,Augusta Westland Wildcat AH.1,Mil,Choppa,,RAF
43C38C,ZZ664,Royal Air Force,RC135W Airseeker,Mil,Eye In The Sky,You Aint Seen Me Right,RAF
43C39C,ZZ665,Royal Air Force,RC135W Airseeker,Mil,Eye In The Sky,You Aint Seen Me Right,RAF
43C39D,ZZ666,Royal Air Force,RC135W Airseeker,Mil,Eye In The Sky,You Aint Seen Me Right,RAF
406F50,GZ-100,32 The Royal Squadron RAF,Agusta Westland AW109SP,Mil,Yes Maam,,Royal Aircraft
43C146,ZE700,33 The Royal Squadron RAF,BAe 146-100 CC.2 (VIP),Mil,Yes Maam,,Royal Aircraft
43C147,ZE701,34 The Royal Squadron RAF,BAe 146-100 CC.2 (VIP),Mil,Yes Maam,,Royal Aircraft
43C704,ZE707,35 The Royal Squadron RAF,BAe 146-200 C3,Mil,Yes Maam,,Royal Aircraft
43C705,ZE708,36 The Royal Squadron RAF,BAe 146-200 C3,Mil,Yes Maam,,Royal Aircraft
405FE9,G-XXEB,The Queens Helicopter flight ,Sikorsky S76C++,Civ,Yes Maam,,Royal Aircraft
406BC6,G-XXEC,The Queens Helicopter flight ,Agusta Westland A109S,Civ,Yes Maam,,Royal Aircraft
406004,G-XXED,The Queens Helicopter flight ,Sikorsky S76C++,Civ,Yes Maam,,Royal Aircraft
43C070,ZJ121,Royal Navy,EH Industries EH.101 Merlin HC.4,Mil,Got It Where It Counts,Choppa,Royal Navy
AD46BF,N9546T,Aerographics (DOJ),Cessna 210,Gov,US Dept Of Justice,Eye In The Sky,Sock Puppet
A75568,N57165,Brown Helicopter (DOJ),Bell 206B,Gov,US Dept Of Justice,Eye In The Sky,Sock Puppet
A4E6C5,N415AT,Department Of Justice (DOJ),Bell 407,Gov,US Dept Of Justice,Eye In The Sky,Sock Puppet
A36932,N319KS,Fvx Research (DOJ),Cessna 182T Skylane,Gov,US Dept Of Justice,Eye In The Sky,Sock Puppet
AAF9D8,N806TH,Fvx Research (DOJ),Cessna 182T Skylane,Gov,US Dept Of Justice,Eye In The Sky,Sock Puppet
AD6BDA,N964JR,Fvx Research (DOJ),Cessna T206H Turbo Stationair,Gov,US Dept Of Justice,Eye In The Sky,Sock Puppet
ADBAD9,N984JS,Fvx Research (DOJ),Cessna 182T Skylane,Gov,US Dept Of Justice,Eye In The Sky,Sock Puppet
AB5C81,N831EM,Jeal Air (DOJ),British Aerospace 125-750,Gov,US Dept Of Justice,Eye In The Sky,Sock Puppet
A1EC96,N223EM,Kqm Aviation (DOJ),Cessna 182T Skylane,Gov,US Dept Of Justice,Eye In The Sky,Sock Puppet
A327E1,N302MP,Kqm Aviation (DOJ),Cessna 182T Skylane,Gov,US Dept Of Justice,Eye In The Sky,Sock Puppet
A4D817,N411CP,Kqm Aviation (DOJ),Cessna 182T Skylane,Gov,US Dept Of Justice,Eye In The Sky,Sock Puppet
A72E8C,N562CB,Kqm Aviation (DOJ),Cessna 182T Skylane,Gov,US Dept Of Justice,Eye In The Sky,Sock Puppet
A7F64F,N612BK,Kqm Aviation (DOJ),Cessna 206H Stationair,Gov,US Dept Of Justice,Eye In The Sky,Sock Puppet
AB1551,N813JH,Kqm Aviation (DOJ),Cessna T206H Turbo Stationair,Gov,US Dept Of Justice,Eye In The Sky,Sock Puppet
A2B573,N274BB,Lcb Leasing (DOJ),Cessna 182T Skylane,Gov,US Dept Of Justice,Eye In The Sky,Sock Puppet
A41050,N361DB,Lcb Leasing (DOJ),Cessna 182T Skylane,Gov,US Dept Of Justice,Eye In The Sky,Sock Puppet
A7650F,N576DS,Lcb Leasing (DOJ),Cessna 182T Skylane,Gov,US Dept Of Justice,Eye In The Sky,Sock Puppet
A2EC92,N288JY,National Aircraft Leasing (DOJ),Cessna T206H Turbo Stationair,Gov,US Dept Of Justice,Eye In The Sky,Sock Puppet
A4349B,N370JH,National Aircraft Leasing (DOJ),Cessna 182T Skylane,Gov,US Dept Of Justice,Eye In The Sky,Sock Puppet
A46F56,N385RB,National Aircraft Leasing (DOJ),Cessna 182T Skylane,Gov,US Dept Of Justice,Eye In The Sky,Sock Puppet
A66261,N510KS,National Aircraft Leasing (DOJ),Cessna 182T Skylane,Gov,US Dept Of Justice,Eye In The Sky,Sock Puppet
A6C75D,N536GR,National Aircraft Leasing (DOJ),Cessna 182T Skylane,Gov,US Dept Of Justice,Eye In The Sky,Sock Puppet
A71AB8,N557PG,National Aircraft Leasing (DOJ),Cessna 560,Gov,US Dept Of Justice,Eye In The Sky,Sock Puppet
A7E68F,N608SH,National Aircraft Leasing (DOJ),Cessna 182T Skylane,Gov,US Dept Of Justice,Eye In The Sky,Sock Puppet
A81E30,N622FH,National Aircraft Leasing (DOJ),Cessna 182T Skylane,Gov,US Dept Of Justice,Eye In The Sky,Sock Puppet
A8464D,N632MR,National Aircraft Leasing (DOJ),Cessna 182T Skylane,Gov,US Dept Of Justice,Eye In The Sky,Sock Puppet
A846DD,N632TK,National Aircraft Leasing (DOJ),Cessna 182T Skylane,Gov,US Dept Of Justice,Eye In The Sky,Sock Puppet
AC8B2B,N907WK,National Aircraft Leasing (DOJ),Cessna 182T Skylane,Gov,US Dept Of Justice,Eye In The Sky,Sock Puppet
ACC6B5,N922MK,National Aircraft Leasing (DOJ),Cessna 182T Skylane,Gov,US Dept Of Justice,Eye In The Sky,Sock Puppet
AD3019,N949RL,National Aircraft Leasing (DOJ),Cessna T206H Turbo Stationair,Gov,US Dept Of Justice,Eye In The Sky,Sock Puppet
AD4B3C,N956D,National Aircraft Leasing (DOJ),Cessna 208 B,Gov,US Dept Of Justice,Eye In The Sky,Sock Puppet
AD645E,N962JB,National Aircraft Leasing (DOJ),Cessna 182T Skylane,Gov,US Dept Of Justice,Eye In The Sky,Sock Puppet
AD64DB,N962PB,National Aircraft Leasing (DOJ),Cessna 182T Skylane,Gov,US Dept Of Justice,Eye In The Sky,Sock Puppet
AD8CAF,N972SM,National Aircraft Leasing (DOJ),Cessna T206H Turbo Stationair,Gov,US Dept Of Justice,Eye In The Sky,Sock Puppet
ADC362,N986W,National Aircraft Leasing (DOJ),Cessna 208 B,Gov,US Dept Of Justice,Eye In The Sky,Sock Puppet
A6286B,N496WW,National Aircraft Leasing Corporation (DOJ),Cessna T206H Turbo Stationair,Gov,US Dept Of Justice,Eye In The Sky,Sock Puppet
A9C265,N728MP,National Aircraft Leasing Corporation (DOJ),Cessna T206H Turbo Stationair,Gov,US Dept Of Justice,Eye In The Sky,Sock Puppet
A34C1A,N311SB,Nbr Aviation (DOJ),Cessna 182T Skylane,Gov,US Dept Of Justice,Eye In The Sky,Sock Puppet
A6718E,N514NY,Nbr Aviation (DOJ),Cessna 182T Skylane,Gov,US Dept Of Justice,Eye In The Sky,Sock Puppet
ADC1C3,N986DK,Nbr Aviation (DOJ),Cessna 182T Skylane,Gov,US Dept Of Justice,Eye In The Sky,Sock Puppet
A0AE77,N143GM,Nby Productions (DOJ),Cessna T206H Turbo Stationair,Gov,US Dept Of Justice,Eye In The Sky,Sock Puppet
A51A7C,N428MT,Nby Productions (DOJ),Cessna 182T Skylane,Gov,US Dept Of Justice,Eye In The Sky,Sock Puppet
A9CEFF,N731CL,Nby Productions (DOJ),Cessna 182T Skylane,Gov,US Dept Of Justice,Eye In The Sky,Sock Puppet
AC97AB,N910LF,Nby Productions (DOJ),Cessna 182T Skylane,Gov,US Dept Of Justice,Eye In The Sky,Sock Puppet
ADAFFE,N981MR,Nby Productions (DOJ),Cessna 182T Skylane,Gov,US Dept Of Justice,Eye In The Sky,Sock Puppet
A2F6FD,N290RM,Ng Research (DOJ),Cessna 182T Skylane,Gov,US Dept Of Justice,Eye In The Sky,Sock Puppet
A6A3DC,N527KM,Ng Research (DOJ),Cessna 182T Skylane,Gov,US Dept Of Justice,Eye In The Sky,Sock Puppet
A6D306,N539MY,Ng Research (DOJ),Cessna 182T Skylane,Gov,US Dept Of Justice,Eye In The Sky,Sock Puppet
ACC2EC,N921LS,Ng Research (DOJ),Cessna T206H Turbo Stationair,Gov,US Dept Of Justice,Eye In The Sky,Sock Puppet
ADAF83,N981GT,Northwest Aircraft Leasing (DOJ),Cessna T206H Turbo Stationair,Gov,US Dept Of Justice,Eye In The Sky,Sock Puppet
A0AB21,N142LJ,Obr Leasing (DOJ),Cessna 182T Skylane,Gov,US Dept Of Justice,Eye In The Sky,Sock Puppet
A1100A,N168GP,Obr Leasing (DOJ),Bell 407,Gov,US Dept Of Justice,Eye In The Sky,Sock Puppet
A36622,N318SJ,Obr Leasing (DOJ),Cessna 182T Skylane,Gov,US Dept Of Justice,Eye In The Sky,Sock Puppet
A4BC6E,N404KR,Obr Leasing (DOJ),Cessna 182T Skylane,Gov,US Dept Of Justice,Eye In The Sky,Sock Puppet
A622CD,N495BJ,Obr Leasing (DOJ),Cessna T206H Turbo Stationair,Gov,US Dept Of Justice,Eye In The Sky,Sock Puppet
A7EEC5,N610AG,Obr Leasing (DOJ),Cessna 206H Stationair,Gov,US Dept Of Justice,Eye In The Sky,Sock Puppet
AC9E93,N912EX,Obr Leasing (DOJ),Cessna 182T Skylane,Gov,US Dept Of Justice,Eye In The Sky,Sock Puppet
A00C4B,N102BR,Otv Leasing (DOJ),Cessna 182T Skylane,Gov,US Dept Of Justice,Eye In The Sky,Sock Puppet
A67138,N514KM,Otv Leasing (DOJ),Cessna T206H Turbo Stationair,Gov,US Dept Of Justice,Eye In The Sky,Sock Puppet
A83822,N629ET,Otv Leasing (DOJ),Bell 407,Gov,US Dept Of Justice,Eye In The Sky,Sock Puppet
AB0D1B,N811AH,Otv Leasing (DOJ),Cessna 182T Skylane,Gov,US Dept Of Justice,Eye In The Sky,Sock Puppet
ADC293,N986MT,Otv Leasing (DOJ),Cessna 182T Skylane,Gov,US Dept Of Justice,Eye In The Sky,Sock Puppet
A5B556,N467TS,Psl Surveys (DOJ),Cessna 182T Skylane,Gov,US Dept Of Justice,Eye In The Sky,Sock Puppet
AC19C5,N879WM,Psl Surveys (DOJ),Cessna 182T Skylane,Gov,US Dept Of Justice,Eye In The Sky,Sock Puppet
ACAEF9,N916WR,Psl Surveys (DOJ),Cessna 182T Skylane,Gov,US Dept Of Justice,Eye In The Sky,Sock Puppet
AD56F0,N959JT,Psl Surveys (DOJ),Cessna T206H Turbo Stationair,Gov,US Dept Of Justice,Eye In The Sky,Sock Puppet
A0AE7C,N143GS,Pxw Services (DOJ),Cessna T206H Turbo Stationair,Gov,US Dept Of Justice,Eye In The Sky,Sock Puppet
A1488A,N182EM,Pxw Services (DOJ),Cessna 182T Skylane,Gov,US Dept Of Justice,Eye In The Sky,Sock Puppet
A29A7D,N267RH,Pxw Services (DOJ),Cessna 182T Skylane,Gov,US Dept Of Justice,Eye In The Sky,Sock Puppet
A68960,N520EP,Pxw Services (DOJ),Cessna 182T Skylane,Gov,US Dept Of Justice,Eye In The Sky,Sock Puppet
A8A872,N657TP,Pxw Services (DOJ),Cessna 182T Skylane,Gov,US Dept Of Justice,Eye In The Sky,Sock Puppet
A37A7D,N323LP,Rkt Productions (DOJ),Cessna 182T Skylane,Gov,US Dept Of Justice,Eye In The Sky,Sock Puppet
A59D5B,N461AJ,Rkt Productions (DOJ),Cessna 182T Skylane,Gov,US Dept Of Justice,Eye In The Sky,Sock Puppet
AC872B,N906TM,Rkt Productions (DOJ),Cessna 182T Skylane,Gov,US Dept Of Justice,Eye In The Sky,Sock Puppet
ACA29B,N913JC,Rkt Productions (DOJ),Cessna T206H Turbo Stationair,Gov,US Dept Of Justice,Eye In The Sky,Sock Puppet
A1CD07,N215KS,Sbs Prgm Ofc (DOJ),Bell 407,Gov,US Dept Of Justice,Eye In The Sky,Sock Puppet
A006AF,N100WG,Total Helicopters Unlimited (DOJ),Bell 429,Gov,US Dept Of Justice,Eye In The Sky,Sock Puppet
A04ECF,N119NA,United States Department Of Justice (DOJ),Boeing 757-223,Gov,US Dept Of Justice,Eye In The Sky,Sock Puppet
A35AEB,N315RR,United States Department Of Justice (DOJ),Bell 407,Gov,US Dept Of Justice,Eye In The Sky,Sock Puppet
A4C859,N407TP,United States Department Of Justice (DOJ),Bell 407,Gov,US Dept Of Justice,Eye In The Sky,Sock Puppet
AC06F0,N874TW,United States Department Of Justice (DOJ),Boeing 757-223,Gov,US Dept Of Justice,Eye In The Sky,Sock Puppet
A9A74E,N721AL,Us Dept Of Justice (DOJ),Bombardier DHC-8-Q-402,Gov,US Dept Of Justice,Eye In The Sky,Sock Puppet
A1B021,N208EB,Worldwide Aircraft Leasing (DOJ),Cessna 208 B,Gov,US Dept Of Justice,Eye In The Sky,Sock Puppet
A32309,N301A,Worldwide Aircraft Leasing (DOJ),Cessna 208 B,Gov,US Dept Of Justice,Eye In The Sky,Sock Puppet
AD7EE5,N969PL,Worldwide Aircraft Leasing (DOJ),Cessna 208 B,Gov,US Dept Of Justice,Eye In The Sky,Sock Puppet
AD8888,N971N,Worldwide Aircraft Leasing (DOJ),Cessna 208 B,Gov,US Dept Of Justice,Eye In The Sky,Sock Puppet
4061E4,G-CPAO,National Police Air Service,Eurocopter EC135 P2,Pol,Eye In The Sky,Police Squad,UK National Police Air Service
40639D,G-CPAS,National Police Air Service,Eurocopter EC135 P2+,Pol,Eye In The Sky,Police Squad,UK National Police Air Service
406100,G-DCPB,National Police Air Service,Airbus Helicopters H145,Pol,Eye In The Sky,Police Squad,UK National Police Air Service
4010AC,G-EMID,National Police Air Service,Eurocopter EC135 P2,Pol,Eye In The Sky,Police Squad,UK National Police Air Service
406176,G-HEOI,National Police Air Service,Eurocopter EC135 P2+,Pol,Eye In The Sky,Police Squad,UK National Police Air Service
400F28,G-MPSA,National Police Air Service,Airbus Helicopters H145,Pol,Eye In The Sky,Police Squad,UK National Police Air Service
400F29,G-MPSB,National Police Air Service,Airbus Helicopters H145,Pol,Eye In The Sky,Police Squad,UK National Police Air Service
400F2A,G-MPSC,National Police Air Service,Airbus Helicopters H145,Pol,Eye In The Sky,Police Squad,UK National Police Air Service
406343,G-NWOI,National Police Air Service,Eurocopter EC135 P2+,Pol,Eye In The Sky,Police Squad,UK National Police Air Service
4062D2,G-POLA,National Police Air Service,Eurocopter EC135 P2+,Pol,Eye In The Sky,Police Squad,UK National Police Air Service
40499A,G-POLB,National Police Air Service,Eurocopter EC135 T2,Pol,Eye In The Sky,Police Squad,UK National Police Air Service
404715,G-POLC,National Police Air Service,Eurocopter EC135 T2,Pol,Eye In The Sky,Police Squad,UK National Police Air Service
404A2E,G-POLD,National Police Air Service,Eurocopter EC135 T2,Pol,Eye In The Sky,Police Squad,UK National Police Air Service
401255,G-POLF,National Police Air Service,Eurocopter EC135 T2,Pol,Eye In The Sky,Police Squad,UK National Police Air Service
40481E,G-POLG,National Police Air Service,Eurocopter EC135 P2+,Pol,Eye In The Sky,Police Squad,UK National Police Air Service
404714,G-POLH,National Police Air Service,Eurocopter EC135 T2,Pol,Eye In The Sky,Police Squad,UK National Police Air Service
400A64,G-POLJ,National Police Air Service,Eurocopter EC135 T2,Pol,Eye In The Sky,Police Squad,UK National Police Air Service
40472C,G-POLU,National Police Air Service,Eurocopter EC135 T2,Pol,Eye In The Sky,Police Squad,UK National Police Air Service
4078A3,G-POLV,National Police Air Service,Vulcanair P.68R,Pol,Eye In The Sky,Police Squad,UK National Police Air Service
4078A4,G-POLW,National Police Air Service,Vulcanair P.68R,Pol,Eye In The Sky,Police Squad,UK National Police Air Service
4077FB,G-POLX,National Police Air Service,Vulcanair P.68R,Pol,Eye In The Sky,Police Squad,UK National Police Air Service
4077FC,G-POLZ,National Police Air Service,Vulcanair P.68R,Pol,Eye In The Sky,Police Squad,UK National Police Air Service
405F1D,G-SUFK,National Police Air Service,Eurocopter EC135 P2,Pol,Eye In The Sky,Police Squad,UK National Police Air Service
4062D8,G-TVHB,National Police Air Service,Eurocopter EC135 P2+,Pol,Eye In The Sky,Police Squad,UK National Police Air Service
405EC4,G-DOSC,Acrobat Ltd,Diamond Aircraft Twin Star DA42MPP,Gov,Eye In The Sky,Covert,Under Observation
4012A1,G-VALK,ALTO Aerospace Ltd,Beech King Air B200,Gov,U Wot m8,,Under Observation
4009B4,G-WPNS,Britten-Norman Aircraft Ltd,Britten-Norman Defender 4000 BN-2T-4R,Civ,Specialist,,Under Observation
407757,G-OUEG,Catreus,Bombardier Global 6000,Civ,U Wot m8,,Under Observation
406EEC,G-RSXP,Catreus,Textron Aviation Citation XLS+,Civ,U Wot m8,,Under Observation
43ED4B,2-WKTJ,DEA,Raytheon Aircraft Company King Air B350,Civ,Covert,Eye In The Sky,Under Observation
400E85,G-DJET,DEA,Diamond Aircraft DA42,Civ,U Wot m8,Eye In The Sky,Under Observation
406870,G-DMNG,DEA,Diamond Aircraft Twin Star DA42M-NG,Civ,Covert,Eye In The Sky,Under Observation
406658,G-DMPP,DEA,Diamond Aircraft DA42MPP,Civ,Covert,Eye In The Sky,Under Observation
406661,G-EMPP,DEA,Diamond Aircraft DA42MPP,Civ,Covert,Eye In The Sky,Under Observation
406726,G-PAPE,DEA,Diamond Aircraft DA42,Civ,U Wot m8,Eye In The Sky,Under Observation
40759B,G-WKTG,DEA,Diamond Aircraft DA42MPP,Civ,Covert,Eye In The Sky,Under Observation
407637,G-WKTH,DEA,Diamond Aircraft DA62MPP,Civ,Covert,Eye In The Sky,Under Observation
40785B,G-WKTI,DEA,Diamond Aircraft DA62MPP,Civ,Covert,Eye In The Sky,Under Observation
407B57,G-WKTO,DEA,Beech E90 King Air,Civ,Covert,Eye In The Sky,Under Observation
40686F,G-YDEA,DEA,Diamond Aircraft DA42,Civ,U Wot m8,Eye In The Sky,Under Observation
406809,G-ZDEA,DEA,Diamond Aircraft DA42,Civ,U Wot m8,Eye In The Sky,Under Observation
3EB1B3,SONICX,German Air Force,Unknown,Mil,UFO,U Wot m8,Under Observation
AAF2C6,N804X,Northrop Grumman Systems,Bombardier CRJ-700,Civ,Odd,U Wot m8,Under Observation
43ED51,2-EMBR,Ortac AOC Ltd,Embraer Phenom 300 E,Civ,U Wot m8,,Under Observation
400CA9,G-FIND,RVL Aviation Ltd,Reims/Cessna F406 Caravan II,Civ,U Wot m8,,Under Observation
